,,,,,,,,,
Power of 2,8,7,6,5,4,3,2,1,Bits
CoLA(mcc),0.05926802437957,-0.016220303239396,-0.016220303239396,-0.024995752544662,-0.001576581133488,0,0,,
QNLI(acc),,0.552163293789253,0.552163293789253,0.547801814375436,0.508199581297976,0.5,0.5,,
RTE(acc),0.527075812274368,0.527075812274368,0.530685920577617,0.523465703971119,0.516245487364621,0.472924187725631,0.527075812274368,,
SST-2(acc),0.52408256880734,0.449541284403669,0.449541284403669,0.432339449541284,0.427752293577981,0.509174311926605,0.490825688073394,,
STS-B(corr),0.514345556718787,0.514427113920534,0.514423598681603,0.433946385343088,-0.097718998381505,0.004432426895267,nan,,
STS-B(pearson),0.523688791620474,0.523829511439631,0.52382156814975,0.443053783927713,-0.097286055449074,-0.000721369245651,nan,,
STS-B(spearmanr),0.505002321817101,0.523829511439631,0.505025629213455,0.424838986758462,-0.098151941313937,0.009586223036184,nan,,
WNLI,0.56338028169014,0.56338028169014,0.56338028169014,0.56338028169014,0.408450704225352,0.436619718309859,0.56338028169014,,
MRPC(acc),0.683823529411764,0.318627450980392,0.318627450980392,0.316176470588235,0.377450980392156,0.683823529411764,0.316176470588235,,
MRPC(acc_f1),0.748025301823786,0.162885154061624,0.162885154061624,0.158088235294117,0.325868347338935,0.748025301823786,0.158088235294117,,
MRPC(f1),0.812227074235807,0.007142857142857,0.007142857142857,0,0.274285714285714,0.812227074235807,0,,
,,,,,,,,,
,,,,,,,,,
Linear,8,7,6,5,4,3,2,1,Bits
CoLA(mcc),-0.02520808329166,-0.028361527375741,-0.011964176248599,-0.011964176248599,0,,0,0,
QNLI(acc),0.554605722260991,0.546057222609909,0.5,0.491451500348918,0.5,,0.5,0.5,
RTE(acc),0.527075812274368,0.527075812274368,0.472924187725631,0.447653429602888,0.527075812274368,,0.527075812274368,0.527075812274368,
SST-2(acc),0.530963302752293,0.536697247706422,0.50802752293578,0.50802752293578,0.490825688073395,,0.490825688073394,0.490825688073394,
STS-B(corr),0.071031734924715,0.163958117806822,-0.012000964313177,nan,nan,,nan,nan,
STS-B(pearson),0.076050200152358,0.168686257541473,-0.019439457510269,nan,nan,,nan,nan,
STS-B(spearmanr),0.066013269697072,0.159229978072171,-0.004562471116085,nan,nan,,nan,nan,
WNLI,0.56338028169014,0.56338028169014,0.436619718309859,0.408450704225352,0.56338028169014,,0.56338028169014,0.56338028169014,
MRPC(acc),0.316176470588235,0.316176470588235,0.683823529411764,0.607843137254901,0.316176470588235,,0.316176470588235,0.316176470588235,
MRPC(acc_f1),0.158088235294117,0.158088235294117,0.748025301823786,0.676533033595603,0.158088235294117,,0.158088235294117,0.158088235294117,
MRPC(f1),0,0,0.812227074235807,0.745222929936305,0,,0,0,
,,,,,,,,,
,,,,,,,,,
mbq,8,7,6,5,4,3,2,1,Bits
CoLA(mcc),-0.021807470981138,0,-0.043882701731592,-0.035892545632264,-0.010240337051187,0,0,0,
MNLI(acc),0.344574630667345,0.327356087620988,0.343352012226184,0.342740703005603,0.349566989302089,0.320326031584309,,0.327356087620988,
MNLI-mm(acc),0.336452400325467,0.32953620829943,0.341842961757526,0.340927583401139,,0.319365337672904,,0.32953620829943,
QNLI(acc),0.498255408234473,0.5,0.504187020237264,0.50069783670621,0.495812979762735,0.502267969295184,0.5,0.5,
RTE(acc),0.537906137184115,0.472924187725631,0.552346570397111,0.472924187725631,0.534296028880866,0.483754512635379,0.527075812274368,0.527075812274368,
SST-2(acc),0.495412844036697,0.509174311926605,0.501146788990826,,0.508027522935779,0.509174311926605,0.490825688073394,0.490825688073394,
STS-B(corr),0.05220724093541,-0.015637748123974,0.053757260174464,-0.02363495804961,-0.03171628287749,-0.121552538056461,nan,nan,
STS-B(pearson),0.055936156643556,-0.010721346850264,0.055979595150219,-0.020143367153902,-0.032504053335173,-0.120270562517891,nan,nan,
STS-B(spearmanr),0.048478325227264,-0.020554149397684,0.051534925198708,-0.027126548945319,-0.030928512419807,-0.122834513595031,nan,nan,
WNLI,0.52112676056338,0.436619718309859,0.56338028169014,0.450704225352112,0.507042253521126,0.535211267605633,0.56338028169014,0.56338028169014,
MRPC(acc),0.372549019607843,0.683823529411764,0.350490196078431,0.683823529411764,0.399509803921568,0.681372549019607,0.316176470588235,0.316176470588235,
MRPC(acc_f1),0.318458417849898,0.748025301823786,0.267552790346908,0.748025301823786,0.352729406210076,0.745934087920882,0.158088235294117,0.158088235294117,
MRPC(f1),0.264367816091954,0.812227074235807,0.184615384615384,0.812227074235807,0.305949008498583,0.810495626822157,0,0,
